Direction,Number,Active,Free_bici,Free_stand,Total_stands,Ticket,Update_date,Latitude,Longitude,Folder_datetime
C/GUILLEM DE CASTRO esquina con C/NA JORDANA,1,1,3,22,25,0,2025-04-30 23:50:05,39.48004223020643,-0.3829292797331582,2025-05-01 00:00:25
C/GUILLEM DE CASTRO esquina con C/NA JORDANA,1,1,2,23,25,0,2025-04-30 23:39:59,39.48004223020643,-0.3829292797331582,2025-04-30 23:45:04
C/GUILLEM DE CASTRO esquina con C/NA JORDANA,1,1,2,23,25,0,2025-04-30 23:19:46,39.48004223020643,-0.3829292797331582,2025-04-30 23:30:06
Salvador Giner - C. Museo,2,1,9,6,15,0,2025-04-30 23:50:05,39.479889353348874,-0.3797483936090024,2025-05-01 00:00:25
Salvador Giner - C. Museo,2,1,8,7,15,0,2025-04-30 23:39:59,39.479889353348874,-0.3797483936090024,2025-04-30 23:45:04
Salvador Giner - C. Museo,2,1,9,6,15,0,2025-04-30 23:19:46,39.479889353348874,-0.3797483936090024,2025-04-30 23:30:06
Plaza del Musico López Chavarri,3,1,13,7,20,0,2025-04-30 23:50:05,39.4768353435743,-0.3802883976424855,2025-05-01 00:00:25
Plaza del Musico López Chavarri,3,1,12,8,20,0,2025-04-30 23:39:59,39.4768353435743,-0.3802883976424855,2025-04-30 23:45:04
Plaza del Musico López Chavarri,3,1,11,9,20,0,2025-04-30 23:19:46,39.4768353435743,-0.3802883976424855,2025-04-30 23:30:06
Plaza de la Virgen - Bailía,4,1,0,24,25,0,2025-04-30 23:50:05,39.476747340831494,-0.375342380894589,2025-05-01 00:00:25
Plaza de la Virgen - Bailía,4,1,0,24,25,0,2025-04-30 23:39:59,39.476747340831494,-0.375342380894589,2025-04-30 23:45:04
Plaza de la Virgen - Bailía,4,1,1,23,25,0,2025-04-30 23:19:46,39.476747340831494,-0.375342380894589,2025-04-30 23:30:06
Plaza Poeta Llorente,5,1,0,15,15,0,2025-04-30 23:50:05,39.476895339123786,-0.3711403661399108,2025-05-01 00:00:25
Plaza Poeta Llorente,5,1,0,15,15,0,2025-04-30 23:39:59,39.476895339123786,-0.3711403661399108,2025-04-30 23:45:04
Plaza Poeta Llorente,5,1,0,15,15,0,2025-04-30 23:19:46,39.476895339123786,-0.3711403661399108,2025-04-30 23:30:06
Guillem de Castro - San Pedro Pascual,6,1,1,14,15,0,2025-04-30 23:50:05,39.472798331478145,-0.3840834139387113,2025-05-01 00:00:25
Guillem de Castro - San Pedro Pascual,6,1,1,14,15,0,2025-04-30 23:39:59,39.472798331478145,-0.3840834139387113,2025-04-30 23:45:04
Guillem de Castro - San Pedro Pascual,6,1,3,12,15,0,2025-04-30 23:19:46,39.472798331478145,-0.3840834139387113,2025-04-30 23:30:06
