,Number,Direction,Active,Free_bici,Free_stand,Total_stands,Ticket,Update_date,Latitude,Longitude,Folder_datetime
0,1,C/GUILLEM DE CASTRO esquina con C/NA JORDANA,1,3,22,25,0,2025-04-30 23:50:05,39.48004223020643,-0.3829292797331582,2025-05-01 00:00:25
1,2,Salvador Giner - C. Museo,1,9,6,15,0,2025-04-30 23:50:05,39.479889353348874,-0.3797483936090024,2025-05-01 00:00:25
2,3,Plaza del Musico López Chavarri,1,13,7,20,0,2025-04-30 23:50:05,39.4768353435743,-0.3802883976424855,2025-05-01 00:00:25
3,4,Plaza de la Virgen - Bailía,1,0,24,25,0,2025-04-30 23:50:05,39.476747340831494,-0.375342380894589,2025-05-01 00:00:25
4,5,Plaza Poeta Llorente,1,0,15,15,0,2025-04-30 23:50:05,39.476895339123786,-0.3711403661399108,2025-05-01 00:00:25
5,6,Guillem de Castro - San Pedro Pascual,1,1,14,15,0,2025-04-30 23:50:05,39.472798331478145,-0.3840834139387113,2025-05-01 00:00:25
6,7,Plaza del Mercado - Taula de Canvis,1,15,3,19,0,2025-04-30 23:50:05,39.47487233593648,-0.3791853952972924,2025-05-01 00:00:25
7,8,Plaza de la Reina - Mar,1,0,9,9,0,2025-04-30 23:50:05,39.473881223660634,-0.3752982847143531,2025-05-01 00:00:25
8,9,Plaza de Tetuán,1,0,24,25,0,2025-04-30 23:50:05,39.47435533016869,-0.3699303648826442,2025-05-01 00:00:25
9,10,Hospital - Horno del Hospital,1,1,14,15,0,2025-04-30 23:50:05,39.470816323984536,-0.3826104109763401,2025-05-01 00:00:25
10,11,Plaza Ayuntamiento - Cotanda,1,2,24,27,0,2025-04-30 23:50:05,39.47118632283677,-0.3767843903416451,2025-05-01 00:00:25
11,12,Calle Salvá - Calle Poeta Querol,1,5,15,20,0,2025-04-30 23:50:05,39.47196722343732,-0.3740102862977963,2025-05-01 00:00:25
12,13,Alfonso el Magnánimo - Nave,1,2,21,24,0,2025-04-30 23:50:05,39.4720623227334,-0.3708743696408533,2025-05-01 00:00:25
13,14,Huesca - Barón de Cárcer,1,2,18,20,0,2025-04-30 23:50:05,39.46896731649349,-0.3797244022229544,2025-05-01 00:00:25
14,15,Ribera - Plaza Ayuntamiento,1,13,4,34,0,2025-04-30 23:50:05,39.46908831533384,-0.3756373880434071,2025-05-01 00:00:25
15,16,"Colón, 60",1,2,18,20,0,2025-04-30 23:50:05,39.470092316192336,-0.3704333693720587,2025-05-01 00:00:25
16,17,Xátiva - Bailén (Estación del Norte),1,0,30,30,0,2025-04-30 23:50:05,39.46746831099193,-0.3772593951806123,2025-05-01 00:00:25
17,18,Colón 20-22,1,5,19,24,0,2025-04-30 23:50:05,39.468191311513856,-0.3731293798737345,2025-05-01 00:00:25
