StationNumber,Weekday,HourOfDay,Avg_Free_Bici,Avg_Free_Stand
1,Monday,0,4.423312883435583,20.33128834355828
1,Monday,1,4.664634146341464,20.091463414634145
1,Monday,2,4.5426829268292686,20.213414634146343
1,Monday,3,4.426829268292683,20.3109756097561
1,Monday,4,4.695402298850575,20.051724137931036
1,Monday,5,4.835365853658536,19.890243902439025
1,Monday,6,4.7607361963190185,19.938650306748468
1,Monday,7,5.216867469879518,19.548192771084338
1,Monday,8,5.879518072289157,18.90963855421687
1,Monday,9,8.160714285714286,16.625
1,Monday,10,7.9880239520958085,16.79640718562874
1,Monday,11,8.179640718562874,16.604790419161677
1,Monday,12,7.144578313253012,17.63855421686747
1,Monday,13,5.922155688622754,18.862275449101798
1,Monday,14,3.9285714285714284,20.851190476190474
1,Monday,15,4.532934131736527,20.24550898203593
1,Monday,16,5.095238095238095,19.69047619047619
1,Monday,17,4.331360946745562,20.45562130177515
1,Monday,18,4.068181818181818,20.727272727272727
1,Monday,19,1.9936102236421724,22.9073482428115
1,Monday,20,2.7719298245614037,22.046783625730995
1,Monday,21,3.040462427745665,21.751445086705203
1,Monday,22,3.197604790419162,21.62874251497006
1,Monday,23,3.0419161676646707,21.78443113772455
1,Tuesday,0,2.672222222222222,22.15
1,Tuesday,1,2.574585635359116,22.248618784530386
1,Tuesday,2,2.661111111111111,22.16111111111111
1,Tuesday,3,2.4350282485875705,22.384180790960453
1,Tuesday,4,2.36,22.457142857142856
1,Tuesday,5,2.89010989010989,21.934065934065934
1,Tuesday,6,3.1920903954802258,21.627118644067796
1,Tuesday,7,3.9886363636363638,20.772727272727273
1,Tuesday,8,5.136363636363637,19.72159090909091
1,Tuesday,9,6.5227272727272725,18.306818181818183
1,Tuesday,10,6.649717514124294,18.146892655367232
1,Tuesday,11,7.95,16.855555555555554
1,Tuesday,12,7.526011560693641,17.289017341040463
1,Tuesday,13,7.84375,16.942708333333332
1,Tuesday,14,4.598870056497175,20.146892655367232
1,Tuesday,15,5.068965517241379,19.724137931034484
1,Tuesday,16,6.6477272727272725,18.125
1,Tuesday,17,1.097512075093411,23.898842613688142
1,Tuesday,18,6.5625,18.204545454545453
1,Tuesday,19,4.196428571428571,20.535714285714285
1,Tuesday,20,3.947976878612717,20.84393063583815
1,Tuesday,21,3.263392857142857,21.549107142857142
1,Tuesday,22,3.7159763313609466,21.106508875739646
1,Tuesday,23,3.864705882352941,20.935294117647057
1,Wednesday,0,3.9575757575757575,20.812121212121212
